movieId,title,year,genres,imdbId,link,time,budget,cast,director
11,"American President, The",1995,Comedy|Drama|Romance,0112346,http://www.imdb.com/title/tt0112346,114.0,62e6,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith|Samantha Mathis|Shawna Waldron|David Paymer|Anne Haney|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina,Rob Reiner
12,Dracula: Dead and Loving It,1995,Comedy|Horror,0112896,http://www.imdb.com/title/tt0112896,88.0,3e7,Leslie Nielsen|Peter MacNicol|Steven Weber|Amy Yasbeck|Lysette Anthony|Harvey Korman|Mel Brooks|Mark Blankfield|Megan Cavanagh|Clive Revill|Chuck McCann|Avery Schreiber|Cherie Franklin|Ezio Greggio|Leslie S. Sachs,Mel Brooks
13,Balto,1995,Adventure|Animation|Children,0112453,http://www.imdb.com/title/tt0112453,NA,NA,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Jack Angel|Danny Mann|Robbie Rist|Juliette Brewer|Sandra Dickinson|Miriam Margolyes|Lola Bates-Campbell|Donald Sinden|William Roberts|Garrick Hagon,Simon Wells
14,Nixon,1995,Drama,0113987,http://www.imdb.com/title/tt0113987,192.0,5e7,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel,Oliver Stone
15,Cutthroat Island,1995,Action|Adventure|Romance,0112760,http://www.imdb.com/title/tt0112760,124.0,98e6,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones,Renny Harlin
16,Casino,1995,Crime|Drama,0112641,http://www.imdb.com/title/tt0112641,178.0,52e6,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|L.Q. Jones|Dick Smothers|Frank Vincent|John Bloom|Pasquale Cajano|Melissa Prophet|Bill Allison|Vinny Vella,Martin Scorsese
17,Sense and Sensibility,1995,Drama|Romance,0114388,http://www.imdb.com/title/tt0114388,136.0,16e6,James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson|Gemma Jones|Hugh Grant|Emilie François|Elizabeth Spriggs|Robert Hardy|Ian Brimble|Isabelle Amyes|Alan Rickman|Greg Wise|Alexander John,Ang Lee
18,Four Rooms,1995,Comedy,0113101,http://www.imdb.com/title/tt0113101,98.0,4e6,Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval|Antonio Banderas|Lana McKissack|Patricia Vonne|Tamlyn Tomita|Danny Verduzco|Salma Hayek,Allison Anders|Alexandre Rockwell
19,Ace Ventura: When Nature Calls,1995,Comedy,0112281,http://www.imdb.com/title/tt0112281,90.0,3e7,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny Daniels|Sam Motoana Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad,Steve Oedekerk
20,Money Train,1995,Action|Comedy|Crime|Drama|Thriller,0113845,http://www.imdb.com/title/tt0113845,110.0,68e6,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Vincent Laresca|Nelson Vasquez|Vincent Patrick|Aida Turturro|Alvaleta Guess|Vincent Pastore|David Tawil,Joseph Ruben
21,Get Shorty,1995,Comedy|Crime|Thriller,0113161,http://www.imdb.com/title/tt0113161,105.0,3025e4,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Linda Hart|Bobby Slayton,Barry Sonnenfeld
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,0112722,http://www.imdb.com/title/tt0112722,123.0,2e7,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.|J.E. Freeman|Will Patton|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott DeVenney|David Michael Silverman,Jon Amiel
23,Assassins,1995,Action|Crime|Thriller,0112401,http://www.imdb.com/title/tt0112401,132.0,5e7,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid,Richard Donner
24,Powder,1995,Drama|Sci-Fi,0114168,http://www.imdb.com/title/tt0114168,111.0,95e5,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith|Bradford Tatum|Susan Tyrrell|Missy Crider|Ray Wise|Esteban Powell|Reed Frerichs|Chad Cox|Joe Marchman|Philip Maurice Hayes|Danette McMahon,Victor Salva
25,Leaving Las Vegas,1995,Drama|Romance,0113627,http://www.imdb.com/title/tt0113627,111.0,36e5,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Regen|Valeria Golino|Graham Beckel|Albert Henderson|Shashi Bhatia|Carey Lowell|Anne Lange|Thomas Kopache,Mike Figgis
26,Othello,1995,Drama,0114057,http://www.imdb.com/title/tt0114057,123.0,11e6,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney|Anna Patrick|Nicholas Farrell|Indra Ové|Michael Sheen|André Oumansky|Philip Locke|John Savident|Gabriele Ferzetti|Pierre Vaneck,Oliver Parker
27,Now and Then,1995,Children|Drama,0114011,http://www.imdb.com/title/tt0114011,100.0,NA,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Devon Sawa|Walter Sparrow|Cloris Leachman|Lolita Davidovich|Janeane Garofalo|Hank Azaria|Bonnie Hunt,Lesli Linka Glatter
28,Persuasion,1995,Drama|Romance,0114117,http://www.imdb.com/title/tt0114117,107.0,NA,Amanda Root|Ciarán Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Emma Roberts|Victoria Hamilton,Roger Michell
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,0112682,http://www.imdb.com/title/tt0112682,112.0,18e6,Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch,Marc Caro|Jean-Pierre Jeunet
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime|Drama,0115012,http://www.imdb.com/title/tt0115012,NA,NA,Li Gong|Baotian Li|Xiaoxiao Wang|Xuejian Li|Chun Sun|Biao Fu|Shu Chen|Jiang Liu|Baoying Jiang|Qianquan Yang|Ying Gao|Weiming Gao|Shuliang Lian|Ya'nan Wang|Zhang Yayun,Yimou Zhang
31,Dangerous Minds,1995,Drama,0112792,http://www.imdb.com/title/tt0112792,99.0,23e6,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Marcello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt,John N. Smith
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,0114746,http://www.imdb.com/title/tt0114746,129.0,29000001.0,Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Madeleine Stowe|Joey Perillo|Bruce Kirkpatrick,Terry Gilliam
34,Babe,1995,Children|Drama,0112431,http://www.imdb.com/title/tt0112431,91.0,3e7,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|James Cromwell|Magda Szubanski|Zoe Burton|Paul Goddard,Chris Noonan
35,Carrington,1995,Drama|Romance,0112637,http://www.imdb.com/title/tt0112637,121.0,NA,Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Peter Blythe|Jeremy Northam|Alex Kingston|Sebastian Harcombe|Richard Clifford|David Ryall|Stephen Boxer|Annabel Mullion,Christopher Hampton
36,Dead Man Walking,1995,Crime|Drama,0112818,http://www.imdb.com/title/tt0112818,122.0,11e6,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Ray Aranha|Larry Pine,Tim Robbins
37,Across the Sea of Time,1995,Documentary|IMAX,0112286,http://www.imdb.com/title/tt0112286,51.0,NA,Peter Reznick|John McDonough|Avi Hoffman|Victor Steinbach|Peter Boyden|Philip Levy|Nick Muglia|Abby Lewis|Matt Malloy|Luigi Petrozza|Bernard Ferstenberg|Robert Buckley|Donald Trump|Patrick Flynn|George G. Colucci,Stephen Low
38,It Takes Two,1995,Children|Comedy,0113442,http://www.imdb.com/title/tt0113442,101.0,NA,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco|Jane Sibbett|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Anthony Aiello|LaTonya Borsay|Michèle Lonsdale Smith|Sean Orr|Elizabeth Walsh,Andy Tennant
39,Clueless,1995,Comedy|Romance,0112697,http://www.imdb.com/title/tt0112697,97.0,12e6,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Aida Linares|Wallace Shawn|Twink Caplan|Justin Walker|Sabastian Rashidi|Herb Hall,Amy Heckerling
40,"Cry, the Beloved Country",1995,Drama,0112749,http://www.imdb.com/title/tt0112749,106.0,NA,James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramalao Makhene|Jack Robinson|Jennifer Steyn|Patrick Ndlovu|Darlington Michaels|King Twala|Somizi Mhlongo|Sam Ngakane|John Whiteley,Darrell Roodt (as Darrell James Roodt)
41,Richard III,1995,Drama|War,0114279,http://www.imdb.com/title/tt0114279,104.0,6e6,Ian McKellen|Annette Bening|Jim Broadbent|Robert Downey Jr.|Nigel Hawthorne|Kristin Scott Thomas|John Wood|Maggie Smith|Jim Carter|Edward Hardwicke|Adrian Dunbar|Tres Hanley|Dominic West|Roger Hammond|Tim McInnerny,Richard Loncraine
42,Dead Presidents,1995,Action|Crime|Drama,0112819,http://www.imdb.com/title/tt0112819,119.0,1e7,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson|N'Bushe Wright|Alvaleta Guess|James Pickens Jr.|Jenifer Lewis|Clifton Powell|Elizabeth Rodriguez|Terrence Howard|Ryan Williams|Larry McCoy|Rodney Winfield,Albert Hughes (as The Hughes Brothers)|Allen Hughes (as The Hughes Brothers)
43,Restoration,1995,Drama,0114272,http://www.imdb.com/title/tt0114272,117.0,19e6,Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Mary MacLeod|Mark Letheren|Sandy McDade|Rosalind Bennett|Willie Ross|David Gant|Benjamin Whitrow,Michael Hoffman
44,Mortal Kombat,1995,Action|Adventure|Fantasy,0113855,http://www.imdb.com/title/tt0113855,101.0,18e6,Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|François Petit|Keith Cooke|Hakim Alston|Kenneth Edwards|John Fujioka|Daniel Haggard|Sandy Helberg,Paul W.S. Anderson (as Paul Anderson)
45,To Die For,1995,Comedy|Drama|Thriller,0114681,http://www.imdb.com/title/tt0114681,106.0,2e7,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Michael Rispoli|Buck Henry,Gus Van Sant
46,How to Make an American Quilt,1995,Drama|Romance,0113347,http://www.imdb.com/title/tt0113347,117.0,1e7,Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou|Alfre Woodard|Lois Smith|Jean Simmons|Kate Nelligan|Denis Arndt|Rip Torn,Jocelyn Moorhouse
47,Seven (a.k.a. Se7en),1995,Mystery|Thriller,0114369,http://www.imdb.com/title/tt0114369,127.0,33e6,Morgan Freeman|Andrew Kevin Walker|Kevin Spacey|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson,David Fincher
48,Pocahontas,1995,Animation|Children|Drama|Musical|Romance,0114148,http://www.imdb.com/title/tt0114148,81.0,55e6,Irene Bedard|Judy Kuhn|Mel Gibson|David Ogden Stiers|John Kassir|Russell Means|Christian Bale|Linda Hunt|Danny Mann|Billy Connolly|Joe Baker|Frank Welker|Michelle St. John|James Apaumut Fall|Gordon Tootoosis,Mike Gabriel|Eric Goldberg
49,When Night Is Falling,1995,Drama|Romance,0114916,http://www.imdb.com/title/tt0114916,94.0,NA,Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar|Tracy Wright|Clare Coulter|Karyne Steben|Sarah Steben|Jonathan Potts|Tom Melissis|Stuart Clow|Richard W. Farrell|Fides Krucker|Thom Sokoloski,Patricia Rozema
50,"Usual Suspects, The",1995,Crime|Mystery|Thriller,0114814,http://www.imdb.com/title/tt0114814,106.0,6e6,Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook,Bryan Singer
52,Mighty Aphrodite,1995,Comedy|Drama|Romance,0113819,http://www.imdb.com/title/tt0113819,95.0,15e6,Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro|Denise Faye|Marian Filali|Angelo Fraboni|Scott Fowler|Seth Gertsacov|Patti Karr|Fred Mann III|John Mineo|Christopher Nelson|Valda Setterfield,Woody Allen
53,Lamerica,1994,Adventure|Drama,0110299,http://www.imdb.com/title/tt0110299,116.0,NA,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi|Sefer Pema|Idajet Sejdia|Marieta Ljarja|Elina Ndreu|Ilir Ara|Liliana Subashi|Artan Marina|Vassjan Lammi|Nikolin Elezi|Fatmir Gjyla,Gianni Amelio
54,"Big Green, The",1995,Children|Comedy,0112499,http://www.imdb.com/title/tt0112499,100.0,12e6,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan|Yareli Arizmendi|Bug Hall|Jessica Robertson|Anthony Esquivel|Jordan Brower|Hayley Kolb|Haley Miller|Ashley Welch,Holly Goldberg Sloan
55,Georgia,1995,Drama,0113158,http://www.imdb.com/title/tt0113158,115.0,NA,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower|Smokey Hormel|Jimmy Z.|Tony Marsico|Jamian Briar|Rachel Rasco|Nicole Donahoo,Ulu Grosbard
57,Home for the Holidays,1995,Drama,0113321,http://www.imdb.com/title/tt0113321,103.0,2e7,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|Cynthia Stevenson|Claire Danes|Emily Ann Lloyd|Zack Duhame|Austin Pendleton|David Strathairn|Amy Yasbeck|James Lecesne,Jodie Foster
58,"Postman, The (Postino, Il)",1994,Comedy|Drama|Romance,0110877,http://www.imdb.com/title/tt0110877,108.0,3e6,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Sergio Solli|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro|Orazio Stracuzzi|Alfredo Cozzolino|Mariano Rigillo|Anna Bonaiuto,Michael Radford
59,"Confessional, The (Confessionnal, Le)",1995,Drama|Mystery,0112714,http://www.imdb.com/title/tt0112714,100.0,NA,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage|Richard Fréchette|François Papineau|Marie Gignac|Normand Daneau|Anne-Marie Cadieux|Suzanne Clément|Lynda Beaulieu|Pascal Rollin|Billy Merasty|Paul Hébert,Robert Lepage
60,"Indian in the Cupboard, The",1995,Adventure|Children|Fantasy,0113419,http://www.imdb.com/title/tt0113419,96.0,45e6,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan|David Keith|Sakina Jaffrey|Vincent Kartheiser|Nestor Serrano|Ryan Olson|Leon Tejwani|Lucas Tejwani|Christopher Conte|Cassandra Brown,Frank Oz
61,Eye for an Eye,1996,Drama|Thriller,0116260,http://www.imdb.com/title/tt0116260,101.0,2e7,Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland|Joe Mantegna|Beverly D'Angelo|Darrell Larson|Charlayne Woodard|Philip Baker Hall|Keith David|Wanda Acuna|Geoffrey Rivas|Armin Shimerman|Natalija Nogulich,John Schlesinger
62,Mr. Holland's Opus,1995,Drama,0113862,http://www.imdb.com/title/tt0113862,143.0,23e6,Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt|Terrence Howard|Damon Whitaker|Jean Louisa Kelly|Alexandra Boyd|Nicholas John Renner|Joseph Anderson|Anthony Natale|Joanna Gleason|Beth Maitland,Stephen Herek
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime,0116126,http://www.imdb.com/title/tt0116126,89.0,38e5,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Suli McCullough|Darrel Heath|Helen Martin|Isaiah Barnes|Lahmard J. Tate|Keenen Ivory Wayans|Keith Morris|Craig Wayans|Casey Lee|Joe Scott|Kim Wayans,Paris Barclay
64,Two if by Sea,1996,Comedy|Romance,0118002,http://www.imdb.com/title/tt0118002,96.0,NA,Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto|Mike Starr|Jonathan Tucker|Wayne Robson|Michael Badalucco|Lenny Clarke|Jonny Fido|Don Gavin|Shaun R. Clarke|Markus Parilo|John Friesen|Sean Runnette,Bill Bennett
65,Bio-Dome,1996,Comedy,0115683,http://www.imdb.com/title/tt0115683,88.0,15e6,William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue|Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill|Patricia Hearst|Robbie Thibaut Jr.|Adam Weisman|Henry Gibson|Brian Hayes Currie|Courtney Mizel,Jason Bloom
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action|Sci-Fi|Thriller,0116839,http://www.imdb.com/title/tt0116839,93.0,15e6,Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper|Patrick LaBrecque|Crystal Celeste Grant|Sean P. Young|Mathew Valencia|Kevin Conway|Trever O'Brien|Richard Fancy|Ellis Williams|Castulo Guerra|Molly Shannon,Farhad Mann
68,French Twist (Gazon maudit),1995,Comedy|Romance,0113149,http://www.imdb.com/title/tt0113149,104.0,NA,Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie|Catherine Lachens|Katrine Boorman|Telsche Boorman|Véronique Barrault|Sylvie Audcoeur|Michèle Bernier|Maureen Diot|Miguel Bosé|Jean-Luc Violet,Josiane Balasko
69,Friday,1995,Comedy,0113118,http://www.imdb.com/title/tt0113118,91.0,35e5,Ice Cube|Chris Tucker|Nia Long|Tommy 'Tiny' Lister|John Witherspoon|Anna Maria Horsford|Regina King|Paula Jai Parker|Faizon Love|DJ Pooh|Angela Means|Vickilyn Reynolds|Ronn Riser|Kathleen Bradley|Tony Cox,F. Gary Gray
70,From Dusk Till Dawn,1996,Action|Comedy|Horror|Thriller,0116367,http://www.imdb.com/title/tt0116367,108.0,19e6,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|Michael Parks|Brenda Hillhouse|John Saxon|Marc Lawrence|Kelly Preston,Robert Rodriguez
71,Fair Game,1995,Action,0113010,http://www.imdb.com/title/tt0113010,91.0,5e7,William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|Johann Carlo|Salma Hayek|John Bedford Lloyd|Olek Krupa|Jenette Goldstein|Marc Macaulay|Sonny Carl Davis|Frank Medrano|Don Yesso|Paul Dillon,Andrew Sipes
72,Kicking and Screaming,1995,Comedy|Drama,0113537,http://www.imdb.com/title/tt0113537,96.0,NA,Josh Hamilton|Samuel Gould|Catherine Kellner|Jonathan Baumbach|John Lehr|Olivia d'Abo|Peter Czernin|Carlos Jacott|Chris Eigeman|Eric Stoltz|Eliza Roberts|Jason Wiles|Parker Posey|Christopher Reed|Noah Baumbach,Noah Baumbach
73,"Misérables, Les",1995,Drama|War,0113828,http://www.imdb.com/title/tt0113828,175.0,NA,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salomé Lelouch|Annie Girardot|Philippe Léotard|Clémentine Célarié|Philippe Khorsand|Ticky Holgado|Rufus|Nicole Croisille|William Leymergie|Jean Marais|Micheline Presle|Darry Cowl,Claude Lelouch
74,Bed of Roses,1996,Drama|Romance,0115644,http://www.imdb.com/title/tt0115644,87.0,NA,Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina|Debra Monk|Mary Alice|Kenneth Cranham|Ally Walker|Anne Pitoniak|Michael Haley|Cass Morgan|Gina Torres|Nick Tate|Víctor Sierra,Michael Goldenberg
76,Screamers,1995,Action|Sci-Fi|Thriller,0114367,http://www.imdb.com/title/tt0114367,108.0,2e7,Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Charles Edwin Powell|Ron White|Michael Caloz|Liliana Komorowska|Jason Cavalier|Leni Parker|Sylvain Massé|Bruce Boa|Tom Berry|Henry Ramer,Christian Duguay
77,Nico Icon,1995,Documentary,0113973,http://www.imdb.com/title/tt0113973,NA,NA,Nico|Tina Aumont|Christian Päffgen|Edith Boulogne|Jackson Browne|John Cale|Danny Fields|Carlos De Maldonado-Bostock|Jonas Mekas|Paul Morrissey|Sterling Morrison|Billy Name|Nikos Papatakis|Lutz Ulbrich|Viva,Susanne Ofteringer
